Condors that may appear in photos	Sex	Hatch date	Rearing method	Hatch Location	For captive hatched birds, date first released to wild	Death date	Age at death	Cause of death	Father	Mother	How often Pb poisoned?	Breeder since	Chicks produced for condor program	Mate1999	Mate2000	Mate2001	Mate2002	Mate2003	Mate2004	Mate2005	Mate2006	Mate2007	Mate2008	Mate2009	Mate2010	Mate2011	Mate2012	In Condor Tag table
21	Male	5/14/1980	Biological parents	Wild in California					2	11	Rarely	1986	19	40	40	40	0	0	192	0	0	192	0	192	0	0	0	21
63	Male	5/8/1991	Zookeepers	Captive at LA zoo	6/23/2011				21	40	Rarely	#N/A	0	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	63
79	Female	4/18/1992	Zookeepers	Captive at LA zoo	12/2/1992				21	40	Occasionally	2000	4	0	33	0	33	33	0	0	0	0	0	0	247	0	0	79
98	Male	3/11/1994	Zookeepers	Captive at San Diego Wild Animal Park	2/8/1995				7	12	Occasionally	2002	3	0	0	0	155	0	0	0	0	0	289	289	0	0	0	98
107	Male	4/29/1994	Zookeepers	Captive at LA zoo	8/29/1995				21	40	Occasionally	2002	6	0	0	0	112	0	161	0	161	161	0	161	0	161	0	107
108	Female	3/28/1994	Zookeepers	Captive at LA zoo	8/29/1995				42	39	Occasionally	2002	2	0	0	0	100	0	0	0	0	0	0	0	0	0	295	#N/A
111	Female	5/12/1994	Zookeepers	Captive at San Diego Wild Animal Park	8/29/1995				44	45	Occasionally	2001	10	0	0	100	0	125	125	125	125	0	125	125	125	125	125	111
112	Female	5/15/1994	Zookeepers	Captive at LA zoo	8/29/1995	5/1/2011	17.0	lead poisoning	5	36	Occasionally	2002	1	0	0	0	107	0	0	0	0	0	0	0	0	0	0	112
125	Male	6/2/1995	Biological parents	Captive at San Diego Wild Animal Park	2/13/1996				44	45	Often	2003	9	0	0	0	0	111	111	111	111	0	111	111	111	111	111	125
137	Male	5/4/1996	Zookeepers	Captive at San Diego Wild Animal Park	1/19/1997				20	29	Rarely	2006	6	0	0	0	0	0	0	0	147	147	147	147	147	147	0	137
147	Female	4/26/1996	Zookeepers	Captive at San Diego Wild Animal Park	1/19/1997				23	32	Rarely	2006	6	0	0	0	0	0	0	0	137	137	137	137	137	137	0	147
156	Female	4/7/1997	Zookeepers	Captive at LA zoo	11/14/1997				21	40	Occasionally	#N/A	0	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	156
